[TICK 2220] running=0 | ready=41 | finished=9
[TICK 2225] running=0 | ready=41 | finished=9
[TICK 2230] running=0 | ready=41 | finished=9
[TICK 2235] running=0 | ready=41 | finished=9
[TICK 2240] running=0 | ready=41 | finished=9
[TICK 2245] running=0 | ready=41 | finished=9
[TICK 2250] running=0 | ready=41 | finished=9
[TICK 2255] running=0 | ready=41 | finished=9
[TICK 2260] running=0 | ready=41 | finished=9
[TICK 2265] running=0 | ready=41 | finished=9
[TICK 2270] running=0 | ready=41 | finished=9
[TICK 2275] running=0 | ready=41 | finished=9
[TICK 2280] running=0 | ready=41 | finished=9
[TICK 2285] running=0 | ready=41 | finished=9
[TICK 2290] running=0 | ready=41 | finished=9
[TICK 2295] running=0 | ready=41 | finished=9
ID:447 Nombre:Hydra Prioridad:8 Estado:3 Fecha:26/05/2025 Tiempo:0
[TICK 2300] running=0 | ready=40 | finished=10
[TICK 2305] running=0 | ready=40 | finished=10
[TICK 2310] running=0 | ready=40 | finished=10
[TICK 2315] running=0 | ready=40 | finished=10
[TICK 2320] running=0 | ready=40 | finished=10
[TICK 2325] running=0 | ready=40 | finished=10
[TICK 2330] running=0 | ready=40 | finished=10
[TICK 2335] running=0 | ready=40 | finished=10
[TICK 2340] running=0 | ready=40 | finished=10
[TICK 2345] running=0 | ready=40 | finished=10
[TICK 2350] running=0 | ready=40 | finished=10
[TICK 2355] running=0 | ready=40 | finished=10
[TICK 2360] running=0 | ready=40 | finished=10
[TICK 2365] running=0 | ready=40 | finished=10
[TICK 2370] running=0 | ready=40 | finished=10
[TICK 2375] running=0 | ready=40 | finished=10
[TICK 2380] running=0 | ready=40 | finished=10
[TICK 2385] running=0 | ready=40 | finished=10
[TICK 2390] running=0 | ready=40 | finished=10
[TICK 2395] running=0 | ready=40 | finished=10
[TICK 2400] running=0 | ready=40 | finished=10
[TICK 2405] running=0 | ready=40 | finished=10
[TICK 2410] running=0 | ready=40 | finished=10
[TICK 2415] running=0 | ready=40 | finished=10
[TICK 2420] running=0 | ready=40 | finished=10
[TICK 2425] running=0 | ready=40 | finished=10
[TICK 2430] running=0 | ready=40 | finished=10
[TICK 2435] running=0 | ready=40 | finished=10
[TICK 2440] running=0 | ready=40 | finished=10
[TICK 2445] running=0 | ready=40 | finished=10
[TICK 2450] running=0 | ready=40 | finished=10
[TICK 2455] running=0 | ready=40 | finished=10
[TICK 2460] running=0 | ready=40 | finished=10
[TICK 2465] running=0 | ready=40 | finished=10
[TICK 2470] running=0 | ready=40 | finished=10
[TICK 2475] running=0 | ready=40 | finished=10
ID:764 Nombre:Analizador Prioridad:8 Estado:3 Fecha:21/05/2025 Tiempo:0
[TICK 2480] running=0 | ready=39 | finished=11
[TICK 2485] running=0 | ready=39 | finished=11
[TICK 2490] running=0 | ready=39 | finished=11
[TICK 2495] running=0 | ready=39 | finished=11
[TICK 2500] running=0 | ready=39 | finished=11
[TICK 2505] running=0 | ready=39 | finished=11
[TICK 2510] running=0 | ready=39 | finished=11
[TICK 2515] running=0 | ready=39 | finished=11
[TICK 2520] running=0 | ready=39 | finished=11
[TICK 2525] running=0 | ready=39 | finished=11
[TICK 2530] running=0 | ready=39 | finished=11
[TICK 2535] running=0 | ready=39 | finished=11
[TICK 2540] running=0 | ready=39 | finished=11
[TICK 2545] running=0 | ready=39 | finished=11
[TICK 2550] running=0 | ready=39 | finished=11
[TICK 2555] running=0 | ready=39 | finished=11
[TICK 2560] running=0 | ready=39 | finished=11
[TICK 2565] running=0 | ready=39 | finished=11
ID:4550 Nombre:CPUDriver Prioridad:8 Estado:3 Fecha:21/06/2025 Tiempo:0
[TICK 2570] running=0 | ready=38 | finished=12
[TICK 2575] running=0 | ready=38 | finished=12
[TICK 2580] running=0 | ready=38 | finished=12
[TICK 2585] running=0 | ready=38 | finished=12
[TICK 2590] running=0 | ready=38 | finished=12
[TICK 2595] running=0 | ready=38 | finished=12
[TICK 2600] running=0 | ready=38 | finished=12
[TICK 2605] running=0 | ready=38 | finished=12
[TICK 2610] running=0 | ready=38 | finished=12
[TICK 2615] running=0 | ready=38 | finished=12
[TICK 2620] running=0 | ready=38 | finished=12
[TICK 2625] running=0 | ready=38 | finished=12
[TICK 2630] running=0 | ready=38 | finished=12
[TICK 2635] running=0 | ready=38 | finished=12
[TICK 2640] running=0 | ready=38 | finished=12
[TICK 2645] running=0 | ready=38 | finished=12
[TICK 2650] running=0 | ready=38 | finished=12
[TICK 2655] running=0 | ready=38 | finished=12
[TICK 2660] running=0 | ready=38 | finished=12
[TICK 2665] running=0 | ready=38 | finished=12
[TICK 2670] running=0 | ready=38 | finished=12
[TICK 2675] running=0 | ready=38 | finished=12
[TICK 2680] running=0 | ready=38 | finished=12
